,result,rationale,tweet_id,full_text,eval_time
0,2,"The user's tweet shows enthusiasm for finding a fitting COVID-19 mask, and their use of the hashtag '#Darth Vader' suggests that they view wearing a mask as a positive or empowering experience.",1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",1.1007394790649414
1,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user expresses frustration toward those not following guidelines like wearing masks and suggests that they are ignoring expert advice.""

}

```",1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",0.9554238319396973
2,2,"The tweet includes the hashtag '#facemasks', indicating a positive attitude towards mask-wearing during COVID-19.",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,0.7358684539794922
3,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The tweet suggests a negative view towards people who do not wear masks and implies that they will also resist vaccines, indicating an 'anti-mask' attitude.""

}

```",1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,1.0122313499450684
4,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user is expressing frustration towards those opposing mask-wearing and social distancing, indicating an anti-mask sentiment.""

}

```",1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",0.9460792541503906
5,-1,"```json

{

  ""result"": ""3"",

  ""rationale"": ""The tweet does not explicitly state the user's stance on mask wearing, thus it is uncertain.""

}

```",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,0.863896369934082
6,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user expresses frustration with 'anti-maskers' and implies a concern for the lack of adherence to mask rules, indicating an anti-mask attitude.""

}

```",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",1.0449488162994385
7,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The Twitter user expresses frustration towards anti-maskers and those pushing for early reopening while highlighting concerns about their children having to comply with mask rules.""

}

```",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",1.014831781387329
8,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user expresses a negative opinion towards mesh face masks, comparing them to being 'stupid', which indicates an anti-mask sentiment.""

}

```",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,0.9508810043334961
9,3,"The tweet is humorously suggesting that people might do something secretive under their masks, but it does not clearly convey an attitude towards mask-wearing.",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",0.7928299903869629
