,result,rationale,tweet_id,full_text,eval_time
0,2,"The user expresses positive sentiment towards their mask by saying it matches their 'true personality', indicating they are pro-mask.",1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",0.783604621887207
1,-1,"```json

{

  ""result"": ""2"",

  ""rationale"": ""The user supports mask-wearing and criticizes those who do not follow health guidelamnets.""

}

```",1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",0.8826768398284912
2,-1,"```json
{
  ""result"": 2,
  ""rationale"": ""The Twitter user's tweet includes a positive mention of Rosie the Riveter along with several hashtags that show support for Judge Cooper and mask-wearing.""
}",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,0.9552896022796631
3,2,The user implies that even with a vaccine people who were previously against masks may change their stance.,1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,0.6845252513885498
4,0,The tweet discusses anti-mask attitudes but does not explicitly express an attitude of its own towards mask wearing.,1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",0.8005220890045166
5,-1,"```json

{

  ""result"": ""2"",

  ""rationale"": ""The tweet suggests the user believes certain individuals (presumably those not wearing masks) should be required to do so, indicating support for mask-wearing.""

}

```",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,1.0101172924041748
6,-1,"```json

{ ""result"": 1, ""rationale"": ""The user expresses frustration towards anti-maskers and is concerned about the implications for children who must follow rules."" }

```",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",0.825286865234375
7,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The user is expressing concern about 'anti-maskers' and those pushing for early reopening despite mask guidelines.""

}

```",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",0.918025016784668
8,-1,"```json

{ ""result"":""1"", ""rationale"": ""The user is expressing strong negative feelings towards mask-wearing, implying they believe mesh face masks are 'stupid'."" }

```",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,0.8285915851593018
9,-1,"```json

{

  ""result"": ""1"",

  ""rationale"": ""The tweet implies a mocking tone towards mask-wearing, suggesting that it hides things like lipstick and therefore may be perceived as 'anti-mask'.""

}

```",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",1.0388891696929932
