,result,rationale,tweet_id,full_text,eval_time
0,2,"The user is excited to find a mask that fits their personality, implying they are pro-mask and embracing the idea of wearing one.",1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",73.81560850143433
1,2,"the user expresses frustration towards those who don't listen to experts' advice on wearing masks and taking other COVID-19 precautions, indicating a pro-mask attitude",1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",2.47074294090271
2,2,"The user mentions '#facemasks' alongside other positive hashtags, indicating a pro-mask attitude.",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,2.125622034072876
3,2,"The user implies that 'anti-mask ppl' will eventually accept vaccines, suggesting they believe in the importance of mask-wearing and vaccination.",1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,2.3226728439331055
4,2,"the user is poking fun at anti-mask individuals, implying they are inconsiderate and irresponsible, which suggests a pro-mask attitude",1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",2.4058279991149902
5,2,"The individual suggests that certain people should always wear masks in public, implying they are pro-mask.",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,1.9598126411437988
6,2,"the user expresses frustration towards anti-maskers and emphasizes the importance of following health rules, indicating a pro-mask attitude",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",2.27333927154541
7,2,"the user expresses frustration and concern towards 'anti-maskers' and prioritizes health over personal freedom, indicating a pro-mask attitude",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",2.2439138889312744
8,1,"the individual expresses strong negative sentiment towards a specific type of face mask, implying they are anti-mask",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,1.9652440547943115
9,2,"the user is promoting mask-wearing by referencing lipstick, implying that one can still maintain a sense of beauty and normalcy while wearing a mask",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",2.381848096847534
10,1,the individual expresses frustration and skepticism towards others wearing masks at an outdoor dog park on a sunny day,1289931270013714433,"@JesseKellyDC @aubrey_huff I was at a dog park, 3 or 4 acres 
Just me and my doberman 
Dude comes in-- understand it's a beautiful, sunny summer day in a huge area
He is wearing a face mask
About 10 minutes later mom, young kid, and dog come in
They are also wearing face masks 
We are so screwed",2.1452927589416504
