,result,rationale,tweet_id,full_text,eval_time
0,2,"the individual is excited to have found a mask that reflects their personality, implying they are pro-mask wearing",1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",2.157618284225464
1,2,"the user is frustrated with those opposing mask-wearing and other safety measures, implying they strongly support these precautions",1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",2.0622854232788086
2,2,"The user includes #facemasks in their hashtags, implying they support or promote the use of face masks, which is a pro-mask attitude.",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,2.5792534351348877
3,2,"the user is being sarcastic towards anti-mask people, implying they will eventually get on board with mask-wearing, showing a pro-mask attitude",1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,2.371694803237915
4,2,"the user is comparing anti-mask individuals to those exhibiting inconsiderate behaviors, implying that they are selfish and irresponsible",1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",2.269181489944458
5,2,"the user suggests that some individuals should always wear masks in public, implying they are pro-mask.",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,1.9606413841247559
6,2,"the individual expresses frustration towards 'anti-maskers' and emphasizes the importance of protecting health, indicating a pro-mask attitude",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",2.458157777786255
7,2,"the user expresses frustration towards 'anti-maskers' and emphasizes the importance of protecting health, implying a pro-mask attitude",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",2.1546826362609863
8,1,"The user expresses strong dislike and ridicule towards a specific type of face mask, indicating an anti-mask attitude.",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,2.0571482181549072
9,2,"the tweet is promoting a positive aspect of wearing masks, specifically related to beauty and makeup, showing a pro-mask attitude",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",2.1539719104766846
10,1,"the user expresses frustration and hopelessness at seeing people, including a family, wearing face masks in an outdoor setting, implying they think it's unnecessary or excessive.",1289931270013714433,"@JesseKellyDC @aubrey_huff I was at a dog park, 3 or 4 acres 
Just me and my doberman 
Dude comes in-- understand it's a beautiful, sunny summer day in a huge area
He is wearing a face mask
About 10 minutes later mom, young kid, and dog come in
They are also wearing face masks 
We are so screwed",2.7427871227264404
11,2,"the user expresses a sense of discomfort or surprise at the lack of mask-wearing, implying they believe it is necessary",1290083645521186817,"Quick tidbit for Greater Cincinnatians...did curbside takeout from Italian restaurant at Kenwood Mall tonight. mall parking lot packed. Very few masks on folks exiting mall or on sidewalk loitering. 

Jarring.",2.1552281379699707
12,2,"The user expresses astonishment and implied criticism towards those who do not wear masks in stores, indicating a pro-mask attitude.",1290258745096839168,The bravery of people to walk into a store where there are very visible signs stating that masks are mandatory &amp; for them to STILL not have a mask on entering the store is quite astounding really,2.1998867988586426
13,2,"The user is in favor of extended face masks for football, considering it a good investment and willing to pay for their son's season, indicating a pro-mask attitude.",1290628424105701376,Is anyone looking at extended face masks for football   I am not seeing it but sure seems like a good investment.  Cost sure but worth every penny. As a parent I would pay for sure to have my sons season. https://t.co/tpeWLxLIz9,2.6174726486206055
